Match No.,Venue,1st Team,2nd Team,Toss Winning,Toss Decision,First Innings Score,Fall of wickets First Innings,Second Innings Score,Winners,Highest Score,Player Of The Match
1st,"Grand Prairie Stadium, Dallas",Canada,United State Of America,United State Of America,Fielding,194,5,197,United State Of America,94,Aaron Jones
2nd,"Providence Stadium, Guyana",Papua New Guinea,Afghanistan,Afghanistan,Fielding,95,10,101,Afghanistan,49,Fazalhaq Farooqi
3rd,"Kensington Oval, Bridgetown, Barbados",Oman,Namibia,Namibia,Fielding,109,10,109,Namibia,45,David Wiese
4th,"Nassau County International Cricket Stadium, New York",Sri Lanka,South Africa,Sri Lanka,Batting,77,10,80,South Africa,20,Anrich Nortje
5th,"Providence Stadium, Guyana",Afghanistan,Uganda,Uganda,Fielding,183,5,58,Afghanistan,76,Fazalhaq Farooqi
7th,"Grand Prairie Stadium, Dallas",Nepal,Netherlands,Netherlands,Fielding,106,10,109,Netherlands,54,Tim Pringle
8th,"Nassau County International Cricket Stadium, New York",Ireland,India,India,Fielding,96,10,97,India,52,Jasprit Bumrah
9th,"Providence Stadium, Guyana",Papua New Guinea,Uganda,Uganda,Fielding,77,10,78,Uganda,33,Riazat Ali Shah
10th,"Kensington Oval, Bridgetown, Barbados",Australia,Oman,Oman,Fielding,164,5,125,Australia,67,Marcus Stoinis
11th,"Grand Prairie Stadium, Dallas",Pakistan,United State Of America,United State Of America,Fielding,159,7,160,United State Of America,50,Monank Patel
12th,"Kensington Oval, Bridgetown, Barbados",Namibia,Scotland,Namibia,Batting,155,9,157,Scotland,35,Michael Leask
13th,"Nassau County International Cricket Stadium, New York",Canada,Ireland,Ireland,Fielding,137,7,125,Canada,49,Nicholas Kirton
14th,"Providence Stadium, Guyana",Afghanistan,New Zealand,New Zealand,Fielding,159,6,75,Afghanistan,80,Rahmanullah Gurbaz
15th,"Grand Prairie Stadium, Dallas",Sri Lanka,Bangladesh,Bangladesh,Fielding,124,9,125,Bangladesh,47,Rishad Hossain
